Importing IMU data from the Matlab matrix file : test_data/xsens_acc.mat
Importing IMU data from the Matlab matrix file : test_data/xsens_gyro.mat
Accelerometer Calibration: Calibrating...
Accelerometers Calibration: Extracted 42 intervals using threshold multiplier 2 -> Trying calibrate... 
iter      cost      cost_change  |gradient|   |step|    tr_ratio  tr_radius  ls_iter  iter_time  total_time
   0  5.794474e+17    0.00e+00    6.64e+18   0.00e+00   0.00e+00  1.00e+04        0    5.30e-04    9.22e-04
   1  6.465947e+19   -6.41e+19    6.64e+18   2.37e+04  -1.11e+02  5.00e+03        1    6.78e-04    1.62e-03
   2  5.856490e+19   -5.80e+19    6.64e+18   2.23e+04  -1.00e+02  1.25e+03        1    4.55e-04    2.09e-03
   3  4.434139e+19   -4.38e+19    6.64e+18   1.85e+04  -7.64e+01  1.56e+02        1    4.53e-04    2.55e-03
   4  1.102073e+19   -1.04e+19    6.64e+18   9.26e+03  -2.15e+01  9.77e+00        1    4.52e-04    3.01e-03
   5  5.766891e+17    2.76e+15    6.89e+18   1.24e+03   1.38e-02  5.09e+00        1    9.21e-04    3.93e-03
   6  4.336003e+17    1.43e+17    4.28e+18   6.02e+02   4.32e-01  5.07e+00        1    9.24e-04    4.86e-03
   7  3.900758e+17    4.35e+16    3.59e+18   1.77e+02   3.35e-01  4.90e+00        1    8.90e-04    5.76e-03
   8  3.433669e+17    4.67e+16    3.09e+18   6.71e+01   3.71e-01  4.82e+00        1    8.57e-04    6.62e-03
   9  3.071412e+17    3.62e+16    2.79e+18   1.26e+01   3.61e-01  4.71e+00        1    1.19e-03    7.82e-03
  10  2.746843e+17    3.25e+16    2.54e+18   1.53e+01   3.64e-01  4.62e+00        1    9.58e-04    8.78e-03
  11  2.463112e+17    2.84e+16    2.33e+18   1.07e+01   3.65e-01  4.53e+00        1    9.15e-04    9.71e-03
  12  2.212171e+17    2.51e+16    2.14e+18   1.09e+01   3.67e-01  4.45e+00        1    9.14e-04    1.06e-02
  13  1.989970e+17    2.22e+16    1.97e+18   1.04e+01   3.68e-01  4.37e+00        1    9.11e-04    1.15e-02
  14  1.792755e+17    1.97e+16    1.82e+18   1.01e+01   3.69e-01  4.29e+00        1    9.48e-04    1.25e-02
  15  1.617389e+17    1.75e+16    1.67e+18   9.81e+00   3.71e-01  4.22e+00        1    8.94e-04    1.34e-02
  16  1.461170e+17    1.56e+16    1.55e+18   9.53e+00   3.72e-01  4.15e+00        1    1.27e-03    1.47e-02
  17  1.321769e+17    1.39e+16    1.43e+18   9.26e+00   3.74e-01  4.08e+00        1    9.16e-04    1.56e-02
  18  1.197171e+17    1.25e+16    1.32e+18   9.00e+00   3.75e-01  4.02e+00        1    9.58e-04    1.66e-02
  19  1.085627e+17    1.12e+16    1.22e+18   8.75e+00   3.77e-01  3.96e+00        1    9.14e-04    1.75e-02
  20  9.856145e+16    1.00e+16    1.13e+18   8.50e+00   3.78e-01  3.91e+00        1    9.18e-04    1.84e-02
  21  8.958092e+16    8.98e+15    1.05e+18   8.27e+00   3.80e-01  3.85e+00        1    8.90e-04    1.93e-02
  22  8.150537e+16    8.08e+15    9.76e+17   8.05e+00   3.81e-01  3.80e+00        1    9.48e-04    2.03e-02
